ID,UPA,EventDate,Employer,City,State,Zip,Latitude,Longitude,Primary NAICS,Hospitalized,Amputation,Final Narrative,Nature,NatureTitle,Part of Body,Part of Body Title,Event,EventTitle,Source,SourceTitle,General Nature,General Event,General Source,NAICS Desc
20231211767,2115644,12/31/23,"Georgia Pacific, LLC",GURDON,ARKANSAS,71743.0,33.95,-93.14,321113,1,1.0,An employee was resetting the chain at the core station. He stepped onto the foot pedal that raises and lowers the hoist as he grabbed the chain and sustained amputation of his left index and ring fingers.,1311.0, Amputations,4429.0," Finger(s), fingernail(s), n.e.c.",6410.0," Caught in running equipment or machinery, unspecified",30.0," Machinery, unspecified",Surface and flesh wounds,Contact Incidents,Machinery,Manufacturing
20231211765,2115805,12/31/23,KLX Energy Services,CHARLOTTE,TEXAS,78011.0,28.86,-98.7,213112,1,1.0,"An employee was closing an office door when their middle fingertip was caught between the door and the frame, resulting in a fingertip amputation.",1311.0,Amputations,4422.0,Fingertip(s),6261.0,Struck by or caught in swinging door or gate,6511.0,"Doors, except garage and vehicle",Surface and flesh wounds,Contact Incidents,Structures and Surfaces,Manufacturing
20231211758,2115650,12/30/23,"Liveo Research, Inc.",DELAWARE CITY,DELAWARE,19706.0,39.58,-75.64,326112,0,1.0,An employee was rotating a carbide granulator blade when his finger was caught between the blade and a stationary part of the machine. The employee's right middle finger was partially amputated and they suffered an avulsion to the right ring fingertip.,1311.0,Amputations,4420.0,"Finger(s), fingernail(s), unspecified",642.0,Compressed or pinched by shifting objects or equipment,3599.0,"Metal, woodworking, and special material machinery, n.e.c.",Surface and flesh wounds,Contact Incidents,Machinery,Manufacturing
20231211744,2116350,12/29/23,Best Pump and Flow,FORT WORTH,TEXAS,76185.0,32.69,-97.52,333132,0,1.0,"An employee was using a CNC metal lathe machine in manual mode to check that the thread blocking tool made contact with the jaws. As the employee was manually spinning the spindle, his index fingertip was crushed between the spindle's jaws and the groovi",1311.0,Amputations,4422.0,Fingertip(s),642.0,Compressed or pinched by shifting objects or equipment,3551.0,Metalworking lathes,Surface and flesh wounds,Contact Incidents,Machinery,Manufacturing
20231211738,2116804,12/29/23,Leidy's LLC,SOUDERTON,PENNSYLVANIA,18964.0,40.3,-75.32,311612,0,1.0,An employee was operating a band saw when his right little fingertip was amputated.,1311.0,Amputations,4422.0,Fingertip(s),6311.0,Struck against moving part of machinery or equipment,3715.0,Butchering machinery,Surface and flesh wounds,Contact Incidents,Machinery,Manufacturing
20231211735,2115497,12/29/23,FORD MOTOR COMPANY,BUFFALO,NEW YORK,14219.0,42.78,-78.84,336370,0,1.0,"During a material handling operation, an employee's fingertip was caught under an air conditioning unit as the unit was lowered onto a cart. The employee's fingertip was amputated.",1311.0,Amputations,4422.0,Fingertip(s),642.0,Compressed or pinched by shifting objects or equipment,3311.0,Air conditioning units,Surface and flesh wounds,Contact Incidents,Machinery,Manufacturing
20231211721,2115455,12/29/23,Pall Corporation,DELAND,FLORIDA,32724.0,29.05,-81.29,333999,0,1.0,An employee was operating a machine when a wire pulled his right glove resulting in amputation of the index and middle fingertips.,1311.0, Amputations,4429.0,"Finger(s), fingernail(s), n.e.c.",6412.0,Caught in running equipment or machinery during regular operation,350.0,"Metal, woodworking, and special material machinery, unspecified",Surface and flesh wounds,Contact Incidents,Machinery,Manufacturing
20231211706,2115355,12/28/23,ADM MILLING COMPANY,SAINT LOUIS,MISSOURI,63115.0,38.67,-90.24,311211,1,0.0,An employee reached into the power transmission equipment to adjust a belt while it was running and suffered a broken arm. ,111.0, Fractures,420.0,"Arm(s), unspecified",6410.0," Caught in running equipment or machinery, unspecified",3719.0," Food and beverage processing machinery-specialized, n.e.c.","Injuries to the brain, spinal cord",Contact Incidents,Machinery,Manufacturing
20231211704,2115453,12/28/23,ALAN WIRE COMPANY,SIKESTON,MISSOURI,63801.0,36.87,-89.58,331420,0,1.0,An employee was doing a repair in an office building. He was closing a bank vault door when his right index finger became caught between the door and the door frame resulting in amputation of the fingertip.,1311.0,Amputations,4422.0,Fingertip(s),6261.0,Struck by or caught in swinging door or gate,6511.0,"Doors, except garage and vehicle",Surface and flesh wounds,Contact Incidents,Structures and Surfaces,Manufacturing
20231211692,2127136,12/28/23,H & S Metals Inc.,BAYTOWN,TEXAS,77521.0,29.8,-94.97,332322,1,1.0,An employee was operating a metal rolling machine when their hand was caught and crushed. The employee suffered fractures to the ring finger and amputations to three other fingers.,1311.0, Amputations,4420.0," Finger(s), fingernail(s), unspecified",6412.0, Caught in running equipment or machinery during regular operation,3513.0," Rolling mills, rolling, calendering machinery",Surface and flesh wounds,Contact Incidents,Machinery,Manufacturing
